error,event_message,id,level,msg,path,status,timestamp
null,"{""component"":""apiworker"",""level"":""info"",""msg"":""apiworker: template cache worker exited"",""time"":""2026-01-14T08:44:14Z"",""worker_type"":""apiworker_template_cache""}",7b64609a-1691-41cb-8cbe-9620e7c6b54b,info,apiworker: template cache worker exited,null,null,1768380254000000
null,"{""event"":""templatemailer_reloader_template_update"",""level"":""info"",""mail_type"":""email_change"",""msg"":""mailer: reloaded template type: email_change"",""time"":""2026-01-14T08:44:14Z""}",4f3acf66-6c60-44cf-a4af-01219e9c7450,info,mailer: reloaded template type: email_change,null,null,1768380254000000
null,"{""component"":""api"",""level"":""warning"",""msg"":""DEPRECATION NOTICE: GOTRUE_JWT_ADMIN_GROUP_NAME not supported by Supabase's GoTrue, will be removed soon"",""time"":""2026-01-14T08:44:14Z""}",0a74cc42-ff27-4527-bb0a-e51aac9d8e64,warning,"DEPRECATION NOTICE: GOTRUE_JWT_ADMIN_GROUP_NAME not supported by Supabase's GoTrue, will be removed soon",null,null,1768380254000000
null,"{""event"":""templatemailer_reloader_template_update"",""level"":""info"",""mail_type"":""reauthentication"",""msg"":""mailer: reloaded template type: reauthentication"",""time"":""2026-01-14T08:44:14Z""}",a8be06b7-4dac-4647-a4f6-8a37d0b05999,info,mailer: reloaded template type: reauthentication,null,null,1768380254000000
null,"{""level"":""info"",""msg"":""received graceful shutdown signal"",""time"":""2026-01-14T08:44:14Z""}",f67177fe-7b28-4a73-89c3-75a2cc68f187,info,received graceful shutdown signal,null,null,1768380254000000
null,"{""event"":""templatemailer_reloader_template_update"",""level"":""info"",""mail_type"":""recovery"",""msg"":""mailer: reloaded template type: recovery"",""time"":""2026-01-14T08:44:14Z""}",87532818-3f1c-4a8f-8592-898fcfb4ff6f,info,mailer: reloaded template type: recovery,null,null,1768380254000000
null,"{""component"":""apiworker"",""level"":""info"",""msg"":""apiworker: index worker exited"",""time"":""2026-01-14T08:44:14Z"",""worker_type"":""apiworker_index_worker""}",872fe59f-502e-488b-a069-077263648046,info,apiworker: index worker exited,null,null,1768380254000000
null,"{""component"":""apiworker"",""level"":""info"",""msg"":""apiworker: db worker started"",""time"":""2026-01-14T08:44:14Z"",""worker_type"":""apiworker_db_worker""}",da1c7380-81a7-4250-afdb-f32896e7ae82,info,apiworker: db worker started,null,null,1768380254000000
http: Server closed,"{""error"":""http: Server closed"",""level"":""error"",""msg"":""prometheus server (0.0.0.0:9122) shut down"",""time"":""2026-01-14T08:44:14Z""}",7396416f-6b08-47b9-a318-70391be135ae,error,prometheus server (0.0.0.0:9122) shut down,null,null,1768380254000000
null,"{""count"":0,""level"":""info"",""msg"":""GoTrue migrations applied successfully"",""time"":""2026-01-14T08:44:14Z""}",850e5da8-dcb6-490c-87f5-c993740eecb7,info,GoTrue migrations applied successfully,null,null,1768380254000000
null,"{""component"":""apiworker"",""level"":""info"",""msg"":""apiworker: template cache worker started"",""time"":""2026-01-14T08:44:14Z"",""worker_type"":""apiworker_template_cache""}",c1341c18-4d13-4c2c-90c8-b215fa5684c0,info,apiworker: template cache worker started,null,null,1768380254000000
null,"{""event"":""templatemailer_reloader_template_update"",""level"":""info"",""mail_type"":""identity_unlinked_notification"",""msg"":""mailer: reloaded template type: identity_unlinked_notification"",""time"":""2026-01-14T08:44:14Z""}",bfeb7918-a256-466d-afac-e99c158ebadb,info,mailer: reloaded template type: identity_unlinked_notification,null,null,1768380254000000
null,"{""event"":""templatemailer_reloader_template_update"",""level"":""info"",""mail_type"":""password_changed_notification"",""msg"":""mailer: reloaded template type: password_changed_notification"",""time"":""2026-01-14T08:44:14Z""}",538171b8-cbfe-46a7-bda6-b4f2da13605e,info,mailer: reloaded template type: password_changed_notification,null,null,1768380254000000
null,"{""component"":""api"",""level"":""warning"",""msg"":""DEPRECATION NOTICE: GOTRUE_JWT_DEFAULT_GROUP_NAME not supported by Supabase's GoTrue, will be removed soon"",""time"":""2026-01-14T08:44:14Z""}",6b16997f-6bde-4233-9bc0-71e9bde08579,warning,"DEPRECATION NOTICE: GOTRUE_JWT_DEFAULT_GROUP_NAME not supported by Supabase's GoTrue, will be removed soon",null,null,1768380254000000
null,"{""component"":""apiworker"",""level"":""info"",""msg"":""apiworker: config notifier exited"",""time"":""2026-01-14T08:44:14Z"",""worker_type"":""apiworker_config_notifier""}",bad6fe8e-054a-42b6-98ba-ff113d0296e1,info,apiworker: config notifier exited,null,null,1768380254000000
null,"{""auth_event"":{""action"":""user_modified"",""actor_id"":""86efedad-648b-4754-8f49-5ade8d3d4c49"",""actor_username"":""447795358266"",""actor_via_sso"":false,""log_type"":""user""},""component"":""api"",""duration"":14213251,""level"":""info"",""method"":""PUT"",""msg"":""request completed"",""path"":""/user"",""referer"":""http://localhost:3000"",""remote_addr"":""45.94.63.44"",""request_id"":""9bdbc7a9f1b268c6-LHR"",""status"":200,""time"":""2026-01-14T08:31:56Z""}",467088f7-30be-4433-88e2-682bb7a4b9d7,info,request completed,/user,200,1768379516000000
null,"{""component"":""api"",""duration"":10775353,""level"":""info"",""method"":""GET"",""msg"":""request completed"",""path"":""/user"",""referer"":""http://localhost:3000"",""remote_addr"":""45.94.63.44"",""request_id"":""9bdbc782c48868c6-LHR"",""status"":200,""time"":""2026-01-14T08:31:50Z""}",248d54c9-8973-449b-9f42-da3f6f3d1b64,info,request completed,/user,200,1768379510000000
null,"{""component"":""api"",""duration"":11492830,""level"":""info"",""method"":""GET"",""msg"":""request completed"",""path"":""/user"",""referer"":""http://localhost:3000"",""remote_addr"":""45.94.63.44"",""request_id"":""9bdbc780239c68c6-LHR"",""status"":200,""time"":""2026-01-14T08:31:49Z""}",15b8fbdd-e49e-461a-8a2d-47d983528bec,info,request completed,/user,200,1768379509000000
null,"{""component"":""api"",""duration"":15444063,""level"":""info"",""method"":""GET"",""msg"":""request completed"",""path"":""/user"",""referer"":""http://localhost:3000"",""remote_addr"":""18.170.1.29"",""request_id"":""9bdbc76472bdd922-LHR"",""status"":200,""time"":""2026-01-14T08:31:45Z""}",f6e018e0-8a9d-4edc-9069-02a25d7ddbf3,info,request completed,/user,200,1768379505000000
null,"{""component"":""api"",""duration"":10945683,""level"":""info"",""method"":""GET"",""msg"":""request completed"",""path"":""/user"",""referer"":""http://localhost:3000"",""remote_addr"":""18.170.26.52"",""request_id"":""9bdbc75d065c79c7-LHR"",""status"":200,""time"":""2026-01-14T08:31:44Z""}",77a9dc02-650d-4464-adfc-829c3458091f,info,request completed,/user,200,1768379504000000
null,"{""component"":""api"",""duration"":5789131,""level"":""info"",""method"":""GET"",""msg"":""request completed"",""path"":""/user"",""referer"":""http://localhost:3000"",""remote_addr"":""45.94.63.44"",""request_id"":""9bdbc759272768c6-LHR"",""status"":200,""time"":""2026-01-14T08:31:43Z""}",6b6eff31-04e6-435a-ae0c-7aa27a1279f9,info,request completed,/user,200,1768379503000000
null,"{""component"":""api"",""duration"":15188302,""level"":""info"",""method"":""GET"",""msg"":""request completed"",""path"":""/user"",""referer"":""http://localhost:3000"",""remote_addr"":""45.94.63.44"",""request_id"":""9bdbc757b6c068c6-LHR"",""status"":200,""time"":""2026-01-14T08:31:43Z""}",8f0cd8c5-b47a-4d07-91eb-80e7dc107e85,info,request completed,/user,200,1768379503000000
null,"{""component"":""api"",""duration"":103620851,""level"":""info"",""method"":""GET"",""msg"":""request completed"",""path"":""/user"",""referer"":""http://localhost:3000"",""remote_addr"":""45.94.63.44"",""request_id"":""9bdbc749611c68c6-LHR"",""status"":200,""time"":""2026-01-14T08:31:41Z""}",6f3a41cb-5e16-464e-b498-efa54f4832ec,info,request completed,/user,200,1768379501000000
null,"{""component"":""api"",""duration"":5726789,""level"":""info"",""method"":""GET"",""msg"":""request completed"",""path"":""/user"",""referer"":""http://localhost:3000"",""remote_addr"":""45.94.63.44"",""request_id"":""9bdbc617d522f667-LHR"",""status"":200,""time"":""2026-01-14T08:30:52Z""}",392b3dab-831a-4b4e-acc2-47316e6806af,info,request completed,/user,200,1768379452000000
null,"{""component"":""api"",""duration"":5642810,""level"":""info"",""method"":""GET"",""msg"":""request completed"",""path"":""/user"",""referer"":""http://localhost:3000"",""remote_addr"":""18.170.28.243"",""request_id"":""9bdbc5e357a2c542-LHR"",""status"":200,""time"":""2026-01-14T08:30:43Z""}",297ab0d1-f397-428b-9d23-dc9f7c153b46,info,request completed,/user,200,1768379443000000
null,"{""component"":""api"",""duration"":3096468,""level"":""info"",""method"":""GET"",""msg"":""request completed"",""path"":""/user"",""referer"":""http://localhost:3000"",""remote_addr"":""45.94.63.44"",""request_id"":""9bdbc5d1703ff667-LHR"",""status"":200,""time"":""2026-01-14T08:30:40Z""}",c5c174d4-0366-4626-9f5d-ece34eab86c4,info,request completed,/user,200,1768379440000000
null,"{""component"":""api"",""duration"":12493541,""level"":""info"",""method"":""GET"",""msg"":""request completed"",""path"":""/user"",""referer"":""http://localhost:3000"",""remote_addr"":""18.171.217.136"",""request_id"":""9bdbc5721402777f-LHR"",""status"":200,""time"":""2026-01-14T08:30:25Z""}",53594860-8836-48ed-9024-927fb15e392a,info,request completed,/user,200,1768379425000000
null,"{""component"":""api"",""duration"":9009095,""level"":""info"",""method"":""GET"",""msg"":""request completed"",""path"":""/user"",""referer"":""http://localhost:3000"",""remote_addr"":""18.175.212.252"",""request_id"":""9bdbc5673023419c-LHR"",""status"":200,""time"":""2026-01-14T08:30:23Z""}",e01e2057-e5f1-432f-8aa2-69e414405076,info,request completed,/user,200,1768379423000000
null,"{""component"":""api"",""duration"":40972822,""level"":""info"",""method"":""GET"",""msg"":""request completed"",""path"":""/user"",""referer"":""http://localhost:3000"",""remote_addr"":""45.94.63.44"",""request_id"":""9bdbc555a10cf667-LHR"",""status"":200,""time"":""2026-01-14T08:30:21Z""}",da977aec-355d-4ff0-bee4-6190c5a0ea2a,info,request completed,/user,200,1768379421000000
null,"{""component"":""api"",""duration"":2646240,""level"":""info"",""method"":""GET"",""msg"":""request completed"",""path"":""/user"",""referer"":""http://localhost:3000"",""remote_addr"":""45.94.63.44"",""request_id"":""9bdbc21ce22af667-LHR"",""status"":200,""time"":""2026-01-14T08:28:09Z""}",c76bf260-2b01-4b6a-ab01-798fd8f60874,info,request completed,/user,200,1768379289000000
